Name,Company,Address,Postal,City,State,Country,Latitude,Longitude,HUC12,HUC12_Name
DataBank DFW8 - Plano,DataBank,8375 Dominion Pkwy,75024,Plano,Texas,USA,33.0877452,-96.81518779999999,120301030906,Stewart Creek-Lake Lewisville
CyrusOne DFW10 - Whitney,CyrusOne Data Centers,557 County Rd 3610,76692,Whitney,Texas,USA,31.8566055,-97.3555729,120602020601,Coon Creek-Brazos River
Centersquare - Dallas DFW1,Csquare,14901 FAA Blvd,76155,Fort Worth,Texas,USA,32.832079,-97.041209,120301020705,Estelle Creek-Bear Creek
QTS Fort Worth 1 DC1,QTS Data Centers,14100 Park Vista Boulevard,76177,Fort Worth,Texas,USA,32.9889302,-97.2590413,120301040302,Henrietta Creek
QTS Irving DC1 & DC2,QTS Data Centers,6431 Longhorn Drive,75063,Irving,Texas,USA,32.8971519,-96.9830628,120301031006,Cottonwood Branch-Hackberry Creek
Equinix DA12-2,Equinix,1550 W Mockingbird Ln,75235,Dallas,Texas,USA,32.8215533,-96.8586615,120301050101,Turtle Creek
Tier.Net Dallas Data Center,TierNet,1515 Round Table Dr,75247,Dallas,Texas,USA,32.8379854,-96.8784163,120301050101,Turtle Creek
CyrusOne DFW11 - Whitney,CyrusOne Data Centers,557 County Rd 3610,76692,Whitney,Texas,USA,31.8566055,-97.3555729,120602020601,Coon Creek-Brazos River
CyrusOne DFW17 - Whitney,CyrusOne Data Centers,557 County Rd 3610,76692,Whitney,Texas,USA,31.8566055,-97.3555729,120602020601,Coon Creek-Brazos River
KDC Richardson,KDC,1510 E Lookout Dr,75082,Richardson,Texas,USA,32.98421,-96.696395,120301060407,Pittman Creek-Spring Creek
CyrusOne DFW17B - Whitney,CyrusOne Data Centers,557 County Rd 3610,76692,Whitney,Texas,USA,31.8566055,-97.3555729,120602020601,Coon Creek-Brazos River
Aligned DFW-04,Aligned Data Centers,601 North Star Rd,75074,Plano,Texas,USA,33.00573065977034,-96.65643241136262,120301060406,Brown Branch-Rowlett Creek
CyrusOne DFW17C - Whitney,CyrusOne Data Centers,557 County Rd 3610,76692,Whitney,Texas,USA,31.8566055,-97.3555729,120602020601,Coon Creek-Brazos River
Riot Platforms Corsicana,"Riot Platforms, Inc.",6980 Farm to Market Rd 709,75110,Corsicana,Texas,USA,31.96760867943397,-96.51371067756611,120301080206,Cedar Creek-Richland Creek
